geo_level,geo_code,area,sex,maritalstatus,total,geo_version
district,79,Urban,Male,never married,85086,2011
district,80,Rural,Male,never married,329840,2011
district,80,Urban,Male,never married,148060,2011
district,81,Rural,Male,never married,364289,2011
district,81,Urban,Male,never married,88438,2011
district,82,Rural,Male,never married,175139,2011
district,82,Urban,Male,never married,120075,2011
district,83,Rural,Male,never married,197449,2011
district,83,Urban,Male,never married,66390,2011
district,84,Rural,Male,never married,210020,2011
district,84,Urban,Male,never married,35629,2011
district,85,Rural,Male,never married,173033,2011
district,85,Urban,Male,never married,62956,2011
district,86,Rural,Male,never married,126363,2011
district,86,Urban,Male,never married,266550,2011
district,87,Rural,Male,never married,308233,2011
district,87,Urban,Male,never married,37323,2011
district,88,Rural,Male,never married,108620,2011
district,88,Urban,Male,never married,391333,2011
district,89,Rural,Male,never married,242273,2011
district,89,Urban,Male,never married,68202,2011
district,90,Rural,Male,never married,62679,2011
district,90,Urban,Male,never married,955200,2011
district,91,Rural,Male,never married,5135,2011
district,91,Urban,Male,never married,244658,2011
district,92,Rural,Male,never married,6580,2011
district,92,Urban,Male,never married,649970,2011
district,93,Rural,Male,never married,869,2011
district,93,Urban,Male,never married,458038,2011
district,94,Rural,Male,never married,0,2011
district,94,Urban,Male,never married,37598,2011
district,95,Rural,Male,never married,0,2011
district,95,Urban,Male,never married,161352,2011
district,96,Rural,Male,never married,1715,2011
district,96,Urban,Male,never married,669901,2011
district,97,Rural,Male,never married,39553,2011
district,97,Urban,Male,never married,576195,2011
district,98,Rural,Male,never married,3673,2011
district,98,Urban,Male,never married,749533,2011
district,99,Rural,Male,never married,386127,2011
district,99,Urban,Male,never married,144326,2011
district,100,Rural,Male,never married,377677,2011
district,100,Urban,Male,never married,94670,2011
district,101,Rural,Male,never married,460146,2011
district,101,Urban,Male,never married,210666,2011
district,102,Rural,Male,never married,406067,2011
district,102,Urban,Male,never married,157923,2011
district,103,Rural,Male,never married,458623,2011
district,103,Urban,Male,never married,140056,2011
district,104,Rural,Male,never married,845055,2011
district,104,Urban,Male,never married,178974,2011
district,105,Rural,Male,never married,618441,2011
district,105,Urban,Male,never married,142805,2011
district,106,Rural,Male,never married,313159,2011
district,106,Urban,Male,never married,77527,2011
district,107,Rural,Male,never married,373921,2011
district,107,Urban,Male,never married,63581,2011
district,108,Rural,Male,never married,295831,2011
district,108,Urban,Male,never married,74011,2011
district,109,Rural,Male,never married,401652,2011
district,109,Urban,Male,never married,55906,2011
district,110,Rural,Male,never married,856151,2011
district,110,Urban,Male,never married,933160,2011
district,111,Rural,Male,never married,571808,2011
district,111,Urban,Male,never married,176272,2011
district,112,Rural,Male,never married,704349,2011
district,112,Urban,Male,never married,174458,2011
district,113,Rural,Male,never married,696639,2011
district,113,Urban,Male,never married,333763,2011
district,114,Rural,Male,never married,183007,2011
district,114,Urban,Male,never married,24365,2011
district,115,Rural,Male,never married,735110,2011
district,115,Urban,Male,never married,49788,2011
district,116,Rural,Male,never married,476940,2011
district,116,Urban,Male,never married,43162,2011
district,117,Rural,Male,never married,236982,2011
district,117,Urban,Male,never married,58321,2011
district,118,Rural,Male,never married,410158,2011
district,118,Urban,Male,never married,123692,2011
district,119,Rural,Male,never married,388375,2011
district,119,Urban,Male,never married,261130,2011
district,120,Rural,Male,never married,270947,2011
district,120,Urban,Male,never married,86108,2011
district,121,Rural,Male,never married,228932,2011
district,121,Urban,Male,never married,59377,2011
district,122,Rural,Male,never married,429389,2011
district,122,Urban,Male,never married,124697,2011
district,123,Rural,Male,never married,232762,2011
district,123,Urban,Male,never married,45765,2011
district,124,Rural,Male,never married,351162,2011
district,124,Urban,Male,never married,23268,2011
district,125,Rural,Male,never married,451917,2011
district,125,Urban,Male,never married,31156,2011
district,126,Rural,Male,never married,271889,2011
district,126,Urban,Male,never married,69680,2011
district,127,Rural,Male,never married,201862,2011
district,127,Urban,Male,never married,318390,2011
district,128,Rural,Male,never married,256482,2011
district,128,Urban,Male,never married,68593,2011
district,129,Rural,Male,never married,284974,2011
district,129,Urban,Male,never married,59819,2011
district,130,Rural,Male,never married,642937,2011
district,130,Urban,Male,never married,148860,2011
district,131,Rural,Male,never married,205964,2011
district,131,Urban,Male,never married,17313,2011
district,132,Rural,Male,never married,745142,2011
district,132,Urban,Male,never married,330890,2011
district,133,Rural,Male,never married,917242,2011
district,133,Urban,Male,never married,364528,2011
district,134,Rural,Male,never married,849602,2011
district,134,Urban,Male,never married,297335,2011
district,135,Rural,Male,never married,1027143,2011
district,135,Urban,Male,never married,498296,2011
district,136,Rural,Male,never married,569354,2011
district,136,Urban,Male,never married,191170,2011
district,137,Rural,Male,never married,425593,2011
district,137,Urban,Male,never married,144859,2011
district,138,Rural,Male,never married,521802,2011
district,138,Urban,Male,never married,519108,2011
district,139,Rural,Male,never married,316611,2011
district,139,Urban,Male,never married,83166,2011
district,140,Rural,Male,never married,477365,2011
district,140,Urban,Male,never married,916915,2011
district,141,Rural,Male,never married,204102,2011
district,141,Urban,Male,never married,275140,2011
district,142,Rural,Male,never married,805269,2011
district,142,Urban,Male,never married,263323,2011
district,143,Rural,Male,never married,761687,2011
district,143,Urban,Male,never married,374628,2011
district,144,Rural,Male,never married,382729,2011
district,144,Urban,Male,never married,100993,2011
district,145,Rural,Male,never married,557267,2011
district,145,Urban,Male,never married,225639,2011
district,146,Rural,Male,never married,749113,2011
district,146,Urban,Male,never married,615202,2011
district,147,Rural,Male,never married,521891,2011
district,147,Urban,Male,never married,257639,2011
district,148,Rural,Male,never married,488335,2011
district,148,Urban,Male,never married,85605,2011
district,149,Rural,Male,never married,982395,2011
district,149,Urban,Male,never married,203860,2011
district,150,Rural,Male,never married,922634,2011
district,150,Urban,Male,never married,485141,2011
district,151,Rural,Male,never married,516560,2011
district,151,Urban,Male,never married,109240,2011
district,152,Rural,Male,never married,764259,2011
district,152,Urban,Male,never married,183611,2011
district,153,Rural,Male,never married,1069944,2011
district,153,Urban,Male,never married,137535,2011
district,154,Rural,Male,never married,1195840,2011
district,154,Urban,Male,never married,162764,2011
district,155,Rural,Male,never married,1104128,2011
district,155,Urban,Male,never married,165713,2011
district,156,Rural,Male,never married,768041,2011
district,156,Urban,Male,never married,156032,2011
district,157,Rural,Male,never married,464820,2011
district,157,Urban,Male,never married,841477,2011
district,158,Rural,Male,never married,881818,2011
district,158,Urban,Male,never married,89241,2011
district,159,Rural,Male,never married,462984,2011
district,159,Urban,Male,never married,126569,2011
district,160,Rural,Male,never married,436054,2011
district,160,Urban,Male,never married,87951,2011
district,161,Rural,Male,never married,370310,2011
district,161,Urban,Male,never married,106056,2011
district,162,Rural,Male,never married,352567,2011
district,162,Urban,Male,never married,68328,2011
district,163,Rural,Male,never married,494060,2011
district,163,Urban,Male,never married,51422,2011
district,164,Rural,Male,never married,477315,2011
district,164,Urban,Male,never married,864999,2011
district,165,Rural,Male,never married,358565,2011
district,165,Urban,Male,never married,120929,2011
district,166,Rural,Male,never married,302399,2011
district,166,Urban,Male,never married,229478,2011
district,167,Rural,Male,never married,288222,2011
district,167,Urban,Male,never married,48474,2011
district,168,Rural,Male,never married,263580,2011
district,168,Urban,Male,never married,62223,2011
district,169,Rural,Male,never married,196343,2011
district,169,Urban,Male,never married,54731,2011
district,170,Rural,Male,never married,471003,2011
district,170,Urban,Male,never married,82239,2011
district,171,Rural,Male,never married,273617,2011
district,171,Urban,Male,never married,29150,2011
district,172,Rural,Male,never married,695306,2011
district,172,Urban,Male,never married,95499,2011
district,173,Rural,Male,never married,836083,2011
district,173,Urban,Male,never married,49401,2011
district,174,Rural,Male,never married,459603,2011
district,174,Urban,Male,never married,38568,2011
district,175,Rural,Male,never married,1334291,2011
