geo_level,geo_code,area,sex,total,geo_version
district,150,Rural,Male,1530356,2011
district,150,Urban,Male,827309,2011
district,151,Rural,Male,886789,2011
district,151,Urban,Male,185213,2011
district,152,Rural,Male,1293714,2011
district,152,Urban,Male,312689,2011
district,153,Rural,Male,1880679,2011
district,153,Urban,Male,242508,2011
district,154,Rural,Male,2098123,2011
district,154,Urban,Male,277141,2011
district,155,Rural,Male,1906147,2011
district,155,Urban,Male,285295,2011
district,156,Rural,Male,1351897,2011
district,156,Urban,Male,278190,2011
district,157,Rural,Male,813752,2011
district,157,Urban,Male,1580724,2011
district,158,Rural,Male,1592449,2011
district,158,Urban,Male,160093,2011
district,159,Rural,Male,785301,2011
district,159,Urban,Male,220939,2011
district,160,Rural,Male,734245,2011
district,160,Urban,Male,147531,2011
district,161,Rural,Male,652740,2011
district,161,Urban,Male,193116,2011
district,162,Rural,Male,616494,2011
district,162,Urban,Male,123546,2011
district,163,Rural,Male,871508,2011
district,163,Urban,Male,91747,2011
district,164,Rural,Male,837260,2011
district,164,Urban,Male,1622546,2011
district,165,Rural,Male,683656,2011
district,165,Urban,Male,222436,2011
district,166,Rural,Male,615629,2011
district,166,Urban,Male,441807,2011
district,167,Rural,Male,549478,2011
district,167,Urban,Male,91533,2011
district,168,Rural,Male,481373,2011
district,168,Urban,Male,112164,2011
district,169,Rural,Male,368009,2011
district,169,Urban,Male,98349,2011
district,170,Rural,Male,819243,2011
district,170,Urban,Male,146633,2011
district,171,Rural,Male,476794,2011
district,171,Urban,Male,50927,2011
district,172,Rural,Male,1215690,2011
district,172,Urban,Male,169032,2011
district,173,Rural,Male,1515583,2011
district,173,Urban,Male,90502,2011
district,174,Rural,Male,773335,2011
district,174,Urban,Male,65150,2011
district,175,Rural,Male,2340959,2011
district,175,Urban,Male,790848,2011
district,176,Rural,Male,1533455,2011
district,176,Urban,Male,173618,2011
district,177,Rural,Male,1079257,2011
district,177,Urban,Male,180371,2011
district,178,Rural,Male,1067762,2011
district,178,Urban,Male,144648,2011
district,179,Rural,Male,1810496,2011
district,179,Urban,Male,104090,2011
district,180,Rural,Male,1695122,2011
district,180,Urban,Male,148762,2011
district,181,Rural,Male,573681,2011
district,181,Urban,Male,20216,2011
district,182,Rural,Male,1027943,2011
district,182,Urban,Male,86778,2011
district,183,Rural,Male,1669058,2011
district,183,Urban,Male,118088,2011
district,184,Rural,Male,1212141,2011
district,184,Urban,Male,82954,2011
district,185,Rural,Male,1182846,2011
district,185,Urban,Male,72426,2011
district,186,Rural,Male,802609,2011
district,186,Urban,Male,67047,2011
district,187,Rural,Male,1312126,2011
district,187,Urban,Male,69628,2011
district,188,Rural,Male,1838726,2011
district,188,Urban,Male,439051,2011
district,189,Rural,Male,1730377,2011
district,189,Urban,Male,87678,2011
district,190,Rural,Male,1373111,2011
district,190,Urban,Male,164325,2011
district,191,Rural,Male,2082707,2011
district,191,Urban,Male,202297,2011
district,192,Rural,Male,858843,2011
district,192,Urban,Male,255866,2011
