geo_level,geo_code,area,sex,education,total,geo_version
district,45,Urban,Male,Literate Without Level,1577,2011
district,46,Rural,Male,Literate Without Level,8977,2011
district,46,Urban,Male,Literate Without Level,5282,2011
district,47,Rural,Male,Literate Without Level,6312,2011
district,47,Urban,Male,Literate Without Level,1614,2011
district,48,Rural,Male,Literate Without Level,9835,2011
district,48,Urban,Male,Literate Without Level,7962,2011
district,49,Rural,Male,Literate Without Level,14724,2011
district,49,Urban,Male,Literate Without Level,17077,2011
district,50,Rural,Male,Literate Without Level,14531,2011
district,50,Urban,Male,Literate Without Level,1384,2011
district,51,Rural,Male,Literate Without Level,7666,2011
district,51,Urban,Male,Literate Without Level,1937,2011
district,52,Rural,Male,Literate Without Level,7236,2011
district,52,Urban,Male,Literate Without Level,6468,2011
district,53,Rural,Male,Literate Without Level,10376,2011
district,53,Urban,Male,Literate Without Level,3882,2011
district,54,Rural,Male,Literate Without Level,3399,2011
district,54,Urban,Male,Literate Without Level,2054,2011
district,55,Rural,Male,Literate Without Level,168,2011
district,55,Urban,Male,Literate Without Level,5418,2011
state,17,Urban,Male,Middle,49558,2011
district,56,Rural,Male,Literate Without Level,2514,2011
district,56,Urban,Male,Literate Without Level,192,2011
district,57,Rural,Male,Literate Without Level,2915,2011
district,57,Urban,Male,Literate Without Level,668,2011
district,58,Rural,Male,Literate Without Level,1756,2011
district,58,Urban,Male,Literate Without Level,112,2011
district,59,Rural,Male,Literate Without Level,4378,2011
district,59,Urban,Male,Literate Without Level,649,2011
district,60,Rural,Male,Literate Without Level,5829,2011
district,60,Urban,Male,Literate Without Level,10357,2011
district,61,Rural,Male,Literate Without Level,3189,2011
district,61,Urban,Male,Literate Without Level,487,2011
district,62,Rural,Male,Literate Without Level,3432,2011
district,62,Urban,Male,Literate Without Level,462,2011
district,63,Rural,Male,Literate Without Level,1678,2011
district,63,Urban,Male,Literate Without Level,87,2011
district,64,Rural,Male,Literate Without Level,2555,2011
district,64,Urban,Male,Literate Without Level,952,2011
district,65,Rural,Male,Literate Without Level,814,2011
district,65,Urban,Male,Literate Without Level,256,2011
district,66,Rural,Male,Literate Without Level,3017,2011
district,66,Urban,Male,Literate Without Level,2041,2011
district,67,Rural,Male,Literate Without Level,7590,2011
district,67,Urban,Male,Literate Without Level,3809,2011
district,68,Rural,Male,Literate Without Level,7667,2011
district,68,Urban,Male,Literate Without Level,5490,2011
district,69,Rural,Male,Literate Without Level,1595,2011
district,69,Urban,Male,Literate Without Level,2497,2011
district,70,Rural,Male,Literate Without Level,9603,2011
