geo_level,geo_code,age,area,sex,total,geo_version
state,17,55-59,Rural,Female,22308,2011
state,17,60-64,Rural,Female,19673,2011
state,17,65-69,Rural,Female,14468,2011
state,17,70-74,Rural,Female,9718,2011
state,17,75-79,Rural,Female,5211,2011
state,17,80+,Rural,Female,6558,2011
state,17,Age not stated,Rural,Female,2180,2011
state,18,0-4,Rural,Female,1425698,2011
state,18,5-9,Rural,Female,1566579,2011
state,18,10-14,Rural,Female,1512002,2011
state,18,15-19,Rural,Female,1275599,2011
state,18,20-24,Rural,Female,1274492,2011
state,18,25-29,Rural,Female,1203447,2011
state,18,30-34,Rural,Female,964890,2011
state,18,35-39,Rural,Female,917721,2011
state,18,40-44,Rural,Female,713502,2011
state,18,45-49,Rural,Female,617507,2011
state,18,50-54,Rural,Female,454998,2011
state,18,55-59,Rural,Female,331219,2011
state,18,60-64,Rural,Female,321702,2011
state,18,65-69,Rural,Female,210605,2011
state,18,70-74,Rural,Female,160721,2011
state,18,75-79,Rural,Female,72216,2011
state,18,80+,Rural,Female,97980,2011
state,18,Age not stated,Rural,Female,7167,2011
state,19,0-4,Rural,Female,2662779,2011
state,19,5-9,Rural,Female,2963285,2011
state,19,10-14,Rural,Female,3276066,2011
state,19,15-19,Rural,Female,3083091,2011
state,19,20-24,Rural,Female,2980049,2011
state,19,25-29,Rural,Female,2631501,2011
state,19,30-34,Rural,Female,2197087,2011
state,19,35-39,Rural,Female,2290624,2011
state,19,40-44,Rural,Female,1924134,2011
state,19,45-49,Rural,Female,1614943,2011
state,19,50-54,Rural,Female,1224592,2011
state,19,55-59,Rural,Female,962669,2011
state,19,60-64,Rural,Female,864930,2011
state,19,65-69,Rural,Female,654549,2011
state,19,70-74,Rural,Female,455273,2011
state,19,75-79,Rural,Female,238972,2011
state,19,80+,Rural,Female,291610,2011
state,19,Age not stated,Rural,Female,22014,2011
state,20,0-4,Rural,Female,1447252,2011
state,20,5-9,Rural,Female,1637087,2011
state,20,10-14,Rural,Female,1575146,2011
state,20,15-19,Rural,Female,1091046,2011
state,20,20-24,Rural,Female,1021175,2011
state,20,25-29,Rural,Female,965535,2011
state,20,30-34,Rural,Female,847978,2011
state,20,35-39,Rural,Female,770806,2011
state,20,40-44,Rural,Female,635768,2011
state,20,45-49,Rural,Female,541511,2011
state,20,50-54,Rural,Female,413692,2011
state,20,55-59,Rural,Female,376767,2011
state,20,60-64,Rural,Female,380411,2011
state,20,65-69,Rural,Female,255496,2011
state,20,70-74,Rural,Female,155920,2011
state,20,75-79,Rural,Female,65428,2011
state,20,80+,Rural,Female,70730,2011
state,20,Age not stated,Rural,Female,26839,2011
state,21,0-4,Rural,Female,1527603,2011
state,21,5-9,Rural,Female,1712426,2011
state,21,10-14,Rural,Female,1832853,2011
state,21,15-19,Rural,Female,1623182,2011
state,21,20-24,Rural,Female,1565184,2011
state,21,25-29,Rural,Female,1472606,2011
state,21,30-34,Rural,Female,1272986,2011
state,21,35-39,Rural,Female,1244799,2011
state,21,40-44,Rural,Female,1069929,2011
state,21,45-49,Rural,Female,922862,2011
state,21,50-54,Rural,Female,739533,2011
state,21,55-59,Rural,Female,628219,2011
state,21,60-64,Rural,Female,638752,2011
state,21,65-69,Rural,Female,430391,2011
state,21,70-74,Rural,Female,337254,2011
state,21,75-79,Rural,Female,156525,2011
state,21,80+,Rural,Female,162515,2011
state,21,Age not stated,Rural,Female,46740,2011
state,22,0-4,Rural,Female,1004892,2011
state,22,5-9,Rural,Female,1088641,2011
state,22,10-14,Rural,Female,1134553,2011
state,22,15-19,Rural,Female,988717,2011
state,22,20-24,Rural,Female,888767,2011
state,22,25-29,Rural,Female,737655,2011
state,22,30-34,Rural,Female,683545,2011
state,22,35-39,Rural,Female,666074,2011
state,22,40-44,Rural,Female,588938,2011
state,22,45-49,Rural,Female,481879,2011
state,22,50-54,Rural,Female,364932,2011
state,22,55-59,Rural,Female,312099,2011
state,22,60-64,Rural,Female,314817,2011
state,22,65-69,Rural,Female,234210,2011
state,22,70-74,Rural,Female,160401,2011
state,22,75-79,Rural,Female,73190,2011
state,22,80+,Rural,Female,80480,2011
state,22,Age not stated,Rural,Female,6745,2011
state,23,0-4,Rural,Female,2781364,2011
state,23,5-9,Rural,Female,3055332,2011
state,23,10-14,Rural,Female,3142934,2011
state,23,15-19,Rural,Female,2497373,2011
state,23,20-24,Rural,Female,2197131,2011
state,23,25-29,Rural,Female,1923404,2011
state,23,30-34,Rural,Female,1797462,2011
state,23,35-39,Rural,Female,1657138,2011
state,23,40-44,Rural,Female,1409839,2011
state,23,45-49,Rural,Female,1164791,2011
state,23,50-54,Rural,Female,859466,2011
state,23,55-59,Rural,Female,733099,2011
state,23,60-64,Rural,Female,725303,2011
state,23,65-69,Rural,Female,556687,2011
state,23,70-74,Rural,Female,418606,2011
state,23,75-79,Rural,Female,206337,2011
state,23,80+,Rural,Female,259315,2011
state,23,Age not stated,Rural,Female,22435,2011
state,24,0-4,Rural,Female,1632035,2011
state,24,5-9,Rural,Female,1706579,2011
state,24,10-14,Rural,Female,1798502,2011
state,24,15-19,Rural,Female,1624960,2011
state,24,20-24,Rural,Female,1515353,2011
state,24,25-29,Rural,Female,1328138,2011
state,24,30-34,Rural,Female,1258397,2011
state,24,35-39,Rural,Female,1149061,2011
state,24,40-44,Rural,Female,1052829,2011
state,24,45-49,Rural,Female,891708,2011
state,24,50-54,Rural,Female,732093,2011
state,24,55-59,Rural,Female,592318,2011
state,24,60-64,Rural,Female,528694,2011
state,24,65-69,Rural,Female,383659,2011
state,24,70-74,Rural,Female,303123,2011
state,24,75-79,Rural,Female,148461,2011
state,24,80+,Rural,Female,193131,2011
state,24,Age not stated,Rural,Female,56409,2011
state,25,0-4,Rural,Female,2482,2011
state,25,5-9,Rural,Female,2785,2011
state,25,10-14,Rural,Female,3033,2011
state,25,15-19,Rural,Female,2889,2011
state,25,20-24,Rural,Female,2907,2011
state,25,25-29,Rural,Female,2709,2011
state,25,30-34,Rural,Female,2254,2011
state,25,35-39,Rural,Female,2080,2011
state,25,40-44,Rural,Female,1584,2011
state,25,45-49,Rural,Female,1270,2011
state,25,50-54,Rural,Female,1043,2011
state,25,55-59,Rural,Female,807,2011
state,25,60-64,Rural,Female,796,2011
state,25,65-69,Rural,Female,496,2011
state,25,70-74,Rural,Female,400,2011
state,25,75-79,Rural,Female,202,2011
state,25,80+,Rural,Female,224,2011
state,25,Age not stated,Rural,Female,40,2011
state,26,0-4,Rural,Female,10191,2011
state,26,5-9,Rural,Female,10246,2011
state,26,10-14,Rural,Female,10788,2011
state,26,15-19,Rural,Female,8238,2011
state,26,20-24,Rural,Female,8866,2011
state,26,25-29,Rural,Female,7402,2011
state,26,30-34,Rural,Female,5778,2011
state,26,35-39,Rural,Female,5229,2011
state,26,40-44,Rural,Female,4415,2011
state,26,45-49,Rural,Female,3772,2011
state,26,50-54,Rural,Female,2714,2011
state,26,55-59,Rural,Female,2175,2011
state,26,60-64,Rural,Female,2026,2011
state,26,65-69,Rural,Female,1294,2011
state,26,70-74,Rural,Female,898,2011
state,26,75-79,Rural,Female,351,2011
state,26,80+,Rural,Female,319,2011
state,26,Age not stated,Rural,Female,107,2011
state,27,0-4,Rural,Female,2549438,2011
state,27,5-9,Rural,Female,2678746,2011
state,27,10-14,Rural,Female,2967901,2011
state,27,15-19,Rural,Female,2770441,2011
state,27,20-24,Rural,Female,2746645,2011
state,27,25-29,Rural,Female,2435926,2011
state,27,30-34,Rural,Female,2176444,2011
state,27,35-39,Rural,Female,2112082,2011
state,27,40-44,Rural,Female,1838649,2011
state,27,45-49,Rural,Female,1559955,2011
state,27,50-54,Rural,Female,1274882,2011
state,27,55-59,Rural,Female,1078277,2011
state,27,60-64,Rural,Female,1184588,2011
state,27,65-69,Rural,Female,1088768,2011
state,27,70-74,Rural,Female,726447,2011
state,27,75-79,Rural,Female,340552,2011
state,27,80+,Rural,Female,390093,2011
state,27,Age not stated,Rural,Female,97206,2011
state,29,0-4,Rural,Female,1553599,2011
state,29,5-9,Rural,Female,1609002,2011
state,29,10-14,Rural,Female,1772750,2011
state,29,15-19,Rural,Female,1724455,2011
state,29,20-24,Rural,Female,1699841,2011
state,29,25-29,Rural,Female,1638021,2011
state,29,30-34,Rural,Female,1325352,2011
state,29,35-39,Rural,Female,1433319,2011
state,29,40-44,Rural,Female,1137021,2011
state,29,45-49,Rural,Female,1061765,2011
state,29,50-54,Rural,Female,821296,2011
state,29,55-59,Rural,Female,686748,2011
state,29,60-64,Rural,Female,709961,2011
state,29,65-69,Rural,Female,547638,2011
state,29,70-74,Rural,Female,383994,2011
state,29,75-79,Rural,Female,183775,2011
state,29,80+,Rural,Female,239568,2011
state,29,Age not stated,Rural,Female,11876,2011
state,30,0-4,Rural,Female,18407,2011
state,30,5-9,Rural,Female,19199,2011
state,30,10-14,Rural,Female,20362,2011
state,30,15-19,Rural,Female,20371,2011
state,30,20-24,Rural,Female,22700,2011
state,30,25-29,Rural,Female,24667,2011
state,30,30-34,Rural,Female,24054,2011
state,30,35-39,Rural,Female,24118,2011
state,30,40-44,Rural,Female,19820,2011
state,30,45-49,Rural,Female,17813,2011
state,30,50-54,Rural,Female,14609,2011
state,30,55-59,Rural,Female,13040,2011
state,30,60-64,Rural,Female,13016,2011
state,30,65-69,Rural,Female,9263,2011
state,30,70-74,Rural,Female,6809,2011
state,30,75-79,Rural,Female,3694,2011
state,30,80+,Rural,Female,3919,2011
state,30,Age not stated,Rural,Female,434,2011
state,31,0-4,Rural,Female,605,2011
state,31,5-9,Rural,Female,656,2011
state,31,10-14,Rural,Female,777,2011
state,31,15-19,Rural,Female,622,2011
state,31,20-24,Rural,Female,600,2011
state,31,25-29,Rural,Female,623,2011
state,31,30-34,Rural,Female,593,2011
state,31,35-39,Rural,Female,526,2011
state,31,40-44,Rural,Female,438,2011
state,31,45-49,Rural,Female,357,2011
state,31,50-54,Rural,Female,301,2011
state,31,55-59,Rural,Female,279,2011
state,31,60-64,Rural,Female,198,2011
state,31,65-69,Rural,Female,144,2011
state,31,70-74,Rural,Female,95,2011
state,31,75-79,Rural,Female,42,2011
state,31,80+,Rural,Female,35,2011
state,31,Age not stated,Rural,Female,7,2011
state,32,0-4,Rural,Female,632531,2011
state,32,5-9,Rural,Female,661127,2011
state,32,10-14,Rural,Female,736441,2011
state,32,15-19,Rural,Female,669609,2011
state,32,20-24,Rural,Female,705778,2011
state,32,25-29,Rural,Female,729997,2011
state,32,30-34,Rural,Female,685286,2011
state,32,35-39,Rural,Female,736288,2011
state,32,40-44,Rural,Female,667921,2011
state,32,45-49,Rural,Female,649445,2011
state,32,50-54,Rural,Female,516245,2011
state,32,55-59,Rural,Female,456523,2011
state,32,60-64,Rural,Female,373570,2011
state,32,65-69,Rural,Female,284728,2011
state,32,70-74,Rural,Female,211313,2011
state,32,75-79,Rural,Female,154915,2011
state,32,80+,Rural,Female,182706,2011
state,32,Age not stated,Rural,Female,8658,2011
state,33,0-4,Rural,Female,1345260,2011
state,33,5-9,Rural,Female,1439582,2011
state,33,10-14,Rural,Female,1598994,2011
state,33,15-19,Rural,Female,1607865,2011
state,33,20-24,Rural,Female,1656464,2011
state,33,25-29,Rural,Female,1708000,2011
state,33,30-34,Rural,Female,1405706,2011
state,33,35-39,Rural,Female,1519260,2011
state,33,40-44,Rural,Female,1251772,2011
state,33,45-49,Rural,Female,1195482,2011
state,33,50-54,Rural,Female,936410,2011
state,33,55-59,Rural,Female,813158,2011
state,33,60-64,Rural,Female,757736,2011
state,33,65-69,Rural,Female,532226,2011
state,33,70-74,Rural,Female,386460,2011
state,33,75-79,Rural,Female,178675,2011
state,33,80+,Rural,Female,200214,2011
state,33,Age not stated,Rural,Female,17261,2011
state,34,0-4,Rural,Female,15416,2011
state,34,5-9,Rural,Female,16158,2011
state,34,10-14,Rural,Female,17379,2011
state,34,15-19,Rural,Female,16625,2011
state,34,20-24,Rural,Female,19117,2011
state,34,25-29,Rural,Female,20398,2011
state,34,30-34,Rural,Female,17246,2011
state,34,35-39,Rural,Female,16756,2011
state,34,40-44,Rural,Female,12855,2011
state,34,45-49,Rural,Female,11610,2011
state,34,50-54,Rural,Female,8648,2011
state,34,55-59,Rural,Female,7629,2011
state,34,60-64,Rural,Female,7136,2011
state,34,65-69,Rural,Female,4982,2011
state,34,70-74,Rural,Female,3889,2011
state,34,75-79,Rural,Female,1999,2011
state,34,80+,Rural,Female,2210,2011
state,34,Age not stated,Rural,Female,240,2011
state,35,0-4,Rural,Female,9206,2011
state,35,5-9,Rural,Female,9416,2011
state,35,10-14,Rural,Female,10495,2011
state,35,15-19,Rural,Female,9725,2011
