geo_level,geo_code,area,literacy,sex,total,geo_version
district,212,Rural,Literate,Male,660084,2011
district,212,Urban,Literate,Male,102172,2011
district,213,Rural,Literate,Male,486207,2011
district,213,Urban,Literate,Male,31459,2011
district,214,Rural,Literate,Male,449094,2011
district,214,Urban,Literate,Male,57280,2011
district,215,Rural,Literate,Male,984342,2011
district,215,Urban,Literate,Male,141224,2011
district,216,Rural,Literate,Male,1304006,2011
district,216,Urban,Literate,Male,183111,2011
district,217,Rural,Literate,Male,736279,2011
district,217,Urban,Literate,Male,57626,2011
district,218,Rural,Literate,Male,1046916,2011
district,218,Urban,Literate,Male,68990,2011
district,219,Rural,Literate,Male,1156940,2011
district,219,Urban,Literate,Male,128827,2011
district,220,Rural,Literate,Male,1068503,2011
district,220,Urban,Literate,Male,84073,2011
district,221,Rural,Literate,Male,1236255,2011
district,221,Urban,Literate,Male,57320,2011
district,222,Rural,Literate,Male,721880,2011
district,222,Urban,Literate,Male,196627,2011
district,223,Rural,Literate,Male,429300,2011
district,223,Urban,Literate,Male,31853,2011
district,224,Rural,Literate,Male,716790,2011
district,224,Urban,Literate,Male,220879,2011
district,225,Rural,Literate,Male,565932,2011
district,225,Urban,Literate,Male,25029,2011
district,226,Rural,Literate,Male,324241,2011
district,226,Urban,Literate,Male,149500,2011
district,227,Rural,Literate,Male,256145,2011
district,227,Urban,Literate,Male,49037,2011
district,228,Rural,Literate,Male,159124,2011
district,228,Urban,Literate,Male,37307,2011
district,229,Rural,Literate,Male,756523,2011
district,229,Urban,Literate,Male,163035,2011
district,230,Rural,Literate,Male,1035473,2011
district,230,Urban,Literate,Male,992574,2011
district,231,Rural,Literate,Male,824719,2011
district,231,Urban,Literate,Male,148767,2011
district,232,Rural,Literate,Male,530083,2011
district,232,Urban,Literate,Male,63461,2011
district,233,Rural,Literate,Male,523725,2011
district,233,Urban,Literate,Male,26198,2011
district,234,Rural,Literate,Male,898959,2011
district,234,Urban,Literate,Male,162824,2011
district,235,Rural,Literate,Male,779572,2011
district,235,Urban,Literate,Male,89161,2011
district,236,Rural,Literate,Male,1143417,2011
district,236,Urban,Literate,Male,225386,2011
district,237,Rural,Literate,Male,582080,2011
district,237,Urban,Literate,Male,77394,2011
district,238,Rural,Literate,Male,481184,2011
district,238,Urban,Literate,Male,53201,2011
district,239,Rural,Literate,Male,324140,2011
district,239,Urban,Literate,Male,50272,2011
district,240,Rural,Literate,Male,216267,2011
district,240,Urban,Literate,Male,19012,2011
state,11,Rural,Literate,Male,184245,2011
state,11,Urban,Literate,Male,67024,2011
district,241,Rural,Literate,Male,16694,2011
district,241,Urban,Literate,Male,1885,2011
district,242,Rural,Literate,Male,49711,2011
district,242,Urban,Literate,Male,2277,2011
district,243,Rural,Literate,Male,50339,2011
district,243,Urban,Literate,Male,9018,2011
district,244,Rural,Literate,Male,67501,2011
district,244,Urban,Literate,Male,53844,2011
state,12,Rural,Literate,Male,309390,2011
state,12,Urban,Literate,Male,130478,2011
district,245,Rural,Literate,Male,10035,2011
district,245,Urban,Literate,Male,7685,2011
district,246,Rural,Literate,Male,23353,2011
district,246,Urban,Literate,Male,6213,2011
district,247,Rural,Literate,Male,15103,2011
district,247,Urban,Literate,Male,6496,2011
district,248,Rural,Literate,Male,27273,2011
district,248,Urban,Literate,Male,38521,2011
district,249,Rural,Literate,Male,19615,2011
district,249,Urban,Literate,Male,5192,2011
district,250,Rural,Literate,Male,25933,2011
district,250,Urban,Literate,Male,10844,2011
district,251,Rural,Literate,Male,23694,2011
district,251,Urban,Literate,Male,10516,2011
district,252,Rural,Literate,Male,8280,2011
district,252,Urban,Literate,Male,2443,2011
district,253,Rural,Literate,Male,35423,2011
district,253,Urban,Literate,Male,8604,2011
district,254,Rural,Literate,Male,20628,2011
district,254,Urban,Literate,Male,8685,2011
district,255,Rural,Literate,Male,24376,2011
district,255,Urban,Literate,Male,5094,2011
district,256,Rural,Literate,Male,19486,2011
district,256,Urban,Literate,Male,772,2011
district,257,Rural,Literate,Male,1587,2011
district,257,Urban,Literate,Male,1027,2011
district,258,Rural,Literate,Male,13079,2011
district,258,Urban,Literate,Male,5008,2011
district,259,Rural,Literate,Male,35452,2011
district,259,Urban,Literate,Male,12928,2011
district,260,Rural,Literate,Male,6073,2011
district,260,Urban,Literate,Male,450,2011
state,13,Rural,Literate,Male,484021,2011
state,13,Urban,Literate,Male,239936,2011
district,261,Rural,Literate,Male,53938,2011
district,261,Urban,Literate,Male,13494,2011
district,262,Rural,Literate,Male,58307,2011
district,262,Urban,Literate,Male,25172,2011
district,263,Rural,Literate,Male,41377,2011
district,263,Urban,Literate,Male,12127,2011
district,264,Rural,Literate,Male,51667,2011
district,264,Urban,Literate,Male,15718,2011
district,265,Rural,Literate,Male,68340,2011
district,265,Urban,Literate,Male,81802,2011
district,266,Rural,Literate,Male,47337,2011
district,266,Urban,Literate,Male,10589,2011
district,267,Rural,Literate,Male,48113,2011
district,267,Urban,Literate,Male,15540,2011
district,268,Rural,Literate,Male,13016,2011
district,268,Urban,Literate,Male,3123,2011
district,269,Rural,Literate,Male,16255,2011
district,269,Urban,Literate,Male,6420,2011
district,270,Rural,Literate,Male,56271,2011
district,270,Urban,Literate,Male,50767,2011
district,271,Rural,Literate,Male,29400,2011
district,271,Urban,Literate,Male,5184,2011
state,14,Rural,Literate,Male,710134,2011
state,14,Urban,Literate,Male,329724,2011
district,272,Rural,Literate,Male,145129,2011
district,272,Urban,Literate,Male,2883,2011
district,273,Rural,Literate,Male,39729,2011
district,273,Urban,Literate,Male,7674,2011
district,274,Rural,Literate,Male,96504,2011
district,274,Urban,Literate,Male,7509,2011
district,275,Rural,Literate,Male,54031,2011
district,275,Urban,Literate,Male,33282,2011
district,276,Rural,Literate,Male,94714,2011
district,276,Urban,Literate,Male,57903,2011
district,277,Rural,Literate,Male,74969,2011
district,277,Urban,Literate,Male,131016,2011
district,278,Rural,Literate,Male,100937,2011
district,278,Urban,Literate,Male,72377,2011
district,279,Rural,Literate,Male,58978,2011
district,279,Urban,Literate,Male,11170,2011
district,280,Rural,Literate,Male,45143,2011
district,280,Urban,Literate,Male,5910,2011
state,15,Rural,Literate,Male,195400,2011
state,15,Urban,Literate,Male,243129,2011
district,281,Rural,Literate,Male,26732,2011
district,281,Urban,Literate,Male,6245,2011
district,282,Rural,Literate,Male,14387,2011
district,282,Urban,Literate,Male,19760,2011
district,283,Rural,Literate,Male,35914,2011
district,283,Urban,Literate,Male,133633,2011
district,284,Rural,Literate,Male,31380,2011
district,284,Urban,Literate,Male,20060,2011
district,285,Rural,Literate,Male,13747,2011
district,285,Urban,Literate,Male,13851,2011
district,286,Rural,Literate,Male,34067,2011
district,286,Urban,Literate,Male,30448,2011
district,287,Rural,Literate,Male,27644,2011
district,287,Urban,Literate,Male,8800,2011
district,288,Rural,Literate,Male,11529,2011
district,288,Urban,Literate,Male,10332,2011
state,16,Rural,Literate,Male,1081503,2011
state,16,Urban,Literate,Male,419866,2011
district,289,Rural,Literate,Male,427581,2011
district,289,Urban,Literate,Male,295417,2011
district,290,Rural,Literate,Male,296820,2011
district,290,Urban,Literate,Male,54262,2011
district,291,Rural,Literate,Male,133640,2011
