,DISTRICT NAME,GDP (in Rs. Cr.)|2004-05,GDP (in Rs. Cr.)|2005-06,GDP (in Rs. Cr.)|2006-07,GDP (in Rs. Cr.)|2007-08,GDP (in Rs. Cr.)|2008-09,GDP (in Rs. Cr.)|2009-10,GDP (in Rs. Cr.)|2010-11,GDP (in Rs. Cr.)|2011-12,GDP (in Rs. Cr.)|2012-13,Growth Rate % (YoY)|2005-06,Growth Rate % (YoY)|2006-07,Growth Rate % (YoY)|2007-08,Growth Rate % (YoY)|2008-09,Growth Rate % (YoY)|2009-10,Growth Rate % (YoY)|2010-11,Growth Rate % (YoY)|2011-12,Growth Rate % (YoY)|2012-13,STATE NAME
47,KUSHI NAGAR,"2,559.14","3,076.73","3,452.85","3,981.21","4,641.27","5,237.22","6,031.90","7,179.79",NA,20.23,12.22,15.3,16.58,12.84,15.17,19.03,NA,UTTAR PRADESH
48,LALITPUR,"1,333.26","1,628.09","2,086.47","1,931.15","2,892.92","3,320.07","4,072.65","4,305.85",NA,22.11,28.15,-7.44,49.8,14.77,22.67,5.73,NA,UTTAR PRADESH
49,LUCKNOW,"10,063.94","11,263.18","12,988.02","14,484.85","16,932.65","20,361.08","23,551.40","25,991.49",NA,11.92,15.31,11.52,16.9,20.25,15.67,10.36,NA,UTTAR PRADESH
50,MAHARAJ GANJ,"1,945.70","2,265.84","2,671.47","2,958.67","3,501.93","4,160.57","4,924.27","5,315.40",NA,16.45,17.9,10.75,18.36,18.81,18.36,7.94,NA,UTTAR PRADESH
51,MAHOBA,"1,326.01","1,319.13","1,523.84","1,408.34","2,173.08","2,427.33","3,075.37","4,103.04",NA,-0.52,15.52,-7.58,54.3,11.7,26.7,33.42,NA,UTTAR PRADESH
52,MAINPURI,"2,025.89","2,463.35","2,880.64","3,130.21","3,876.19","4,275.41","5,087.81","5,712.41",NA,21.59,16.94,8.66,23.83,10.3,19,12.28,NA,UTTAR PRADESH
53,MATHURA,"3,893.70","4,958.22","6,050.04","7,167.64","8,154.33","8,176.56","9,558.20","12,043.10",NA,27.34,22.02,18.47,13.77,0.27,16.9,26,NA,UTTAR PRADESH
54,MAU,"2,043.87","2,887.83","2,681.96","3,124.81","3,466.63","4,598.83","5,455.50","5,580.32",NA,41.29,-7.13,16.51,10.94,32.66,18.63,2.29,NA,UTTAR PRADESH
55,MEERUT,"6,809.13","8,662.64","9,292.13","10,554.07","11,923.69","14,411.98","17,078.69","18,977.47",NA,27.22,7.27,13.58,12.98,20.87,18.5,11.12,NA,UTTAR PRADESH
56,MIRZAPUR,"2,110.51","2,642.34","3,158.91","3,490.34","3,925.78","4,662.50","5,341.79","6,415.10",NA,25.2,19.55,10.49,12.48,18.77,14.57,20.09,NA,UTTAR PRADESH
57,MORADABAD,"6,381.55","7,277.49","8,363.43","10,156.37","11,551.01","14,955.32","15,546.25","17,048.48",NA,14.04,14.92,21.44,13.73,29.47,3.95,9.66,NA,UTTAR PRADESH
58,MUZAFFARNAGAR,"7,123.39","8,211.04","8,867.90","9,598.55","11,264.51","14,853.77","16,561.86","18,984.51",NA,15.27,8,8.24,17.36,31.86,11.5,14.63,NA,UTTAR PRADESH
59,PILIBHIT,"2,541.85","3,954.82","4,351.28","5,634.78","5,702.21","6,332.22","7,451.19","7,704.88",NA,55.59,10.02,29.5,1.2,11.05,17.67,3.4,NA,UTTAR PRADESH
60,PRATAP GARH,"2,005.14","2,715.60","3,008.17","3,435.19","4,032.73","4,786.47","6,111.25","6,177.95",NA,35.43,10.77,14.2,17.39,18.69,27.68,1.09,NA,UTTAR PRADESH
61,RAE BARELI,"2,965.01","3,770.80","4,215.52","4,698.76","5,062.00","5,937.38","5,171.31","5,723.85",NA,27.18,11.79,11.46,7.73,17.29,-12.9,10.68,NA,UTTAR PRADESH
62,RAMPUR,"3,148.79","3,271.99","3,979.68","4,964.03","5,475.17","6,399.86","6,795.93","7,329.76",NA,3.91,21.63,24.73,10.3,16.89,6.19,7.86,NA,UTTAR PRADESH
63,SAHARANPUR,"6,248.84","7,301.10","7,723.05","8,460.25","9,578.10","12,289.09","15,134.66","15,163.27",NA,16.84,5.78,9.55,13.21,28.3,23.16,0.19,NA,UTTAR PRADESH
64,SANT KABEER MAHARAJ GANJ,"1,125.05","1,487.48","1,443.30","1,696.41","2,034.30","2,486.93","2,898.73","3,461.90",NA,32.21,-2.97,17.54,19.92,22.25,16.56,19.43,NA,UTTAR PRADESH
65,SANT RAVI DAS NAGAR,"1,639.30","1,782.79","2,340.26","2,663.20","3,160.42","3,085.26","3,608.87","4,593.65",NA,8.75,31.27,13.8,18.67,-2.38,16.97,27.29,NA,UTTAR PRADESH
66,SHAHJAHANPUR,"3,430.92","4,013.85","4,762.40","6,439.04","6,196.27","7,111.36","8,215.29","10,579.60",NA,16.99,18.65,35.21,-3.77,14.77,15.52,28.78,NA,UTTAR PRADESH
67,SHRAVASTI,719.44,"1,152.72","1,503.64","1,205.18","1,523.15","1,710.56","2,333.75","2,346.03",NA,60.22,30.44,-19.85,26.38,12.3,36.43,0.53,NA,UTTAR PRADESH
68,SIDDHARTH NAGAR,"1,589.62","2,251.40","2,448.07","2,745.04","3,159.63","3,567.44","4,664.09","4,913.25",NA,41.63,8.74,12.13,15.1,12.91,30.74,5.34,NA,UTTAR PRADESH
69,SITAPUR,"4,347.06","5,118.65","6,442.81","6,983.36","8,175.69","10,826.98","12,113.63","12,249.17",NA,17.75,25.87,8.39,17.07,32.43,11.88,1.12,NA,UTTAR PRADESH
70,SONBHADRA,"3,890.87","4,738.27","4,237.59","4,873.80","5,453.83","6,098.52","5,767.85","7,496.87",NA,21.78,-10.57,15.01,11.9,11.82,-5.42,29.98,NA,UTTAR PRADESH
71,SULTANPUR,"3,293.61","4,174.08","4,476.54","5,301.47","6,079.33","6,942.77","5,584.48","6,515.15",NA,26.73,7.25,18.43,14.67,14.2,-19.56,16.67,NA,UTTAR PRADESH
72,UNNAO,"3,621.89","4,267.99","4,728.82","5,383.48","6,037.85","7,163.84","8,166.86","9,707.45",NA,17.84,10.8,13.84,12.16,18.65,14,18.86,NA,UTTAR PRADESH
73,VARANASI,"4,285.02","4,812.30","5,679.70","5,691.30","6,566.91","8,693.22","9,992.04","11,296.41",NA,12.31,18.02,0.2,15.39,32.38,14.94,13.05,NA,UTTAR PRADESH
2,24-PARGANAS (NORTH),"24,416.69","27,833.39","31,332.56","36,277.12","42,657.90","49,297.81","58,512.52",NA,NA,13.99,12.57,15.78,17.59,15.57,18.69,NA,NA,WEST BENGAL
3,24-PARGANAS (SOUTH),"16,884.94","18,090.46","21,654.50","24,613.43","27,590.50","31,383.62","37,493.07",NA,NA,7.14,19.7,13.66,12.1,13.75,19.47,NA,NA,WEST BENGAL
4,BANKURA,"6,625.78","7,447.22","8,410.89","9,784.21","11,017.38","13,127.11","14,061.31",NA,NA,12.4,12.94,16.33,12.6,19.15,7.12,NA,NA,WEST BENGAL
5,BIRBHUM,"5,924.68","6,576.84","7,698.74","8,773.12","10,004.71","11,252.27","12,905.43",NA,NA,11.01,17.06,13.96,14.04,12.47,14.69,NA,NA,WEST BENGAL
6,BURDWAN,"22,357.47","23,024.40","27,759.01","31,005.37","34,611.33","40,218.01","46,441.46",NA,NA,2.98,20.56,11.69,11.63,16.2,15.47,NA,NA,WEST BENGAL
7,COOCH BEHAR,"5,066.53","5,635.81","6,058.96","6,997.68","7,907.27","9,688.26","10,946.28",NA,NA,11.24,7.51,15.49,13,22.52,12.98,NA,NA,WEST BENGAL
8,DAKSHIN DINAJPUR,"3,048.61","3,325.82","3,623.38","4,183.27","4,779.86","5,683.04","6,838.50",NA,NA,9.09,8.95,15.45,14.26,18.9,20.33,NA,NA,WEST BENGAL
9,DARJEELING,"4,960.24","5,633.86","6,305.60","7,130.89","8,788.56","10,987.00","12,921.33",NA,NA,13.58,11.92,13.09,23.25,25.01,17.61,NA,NA,WEST BENGAL
10,HOOGHLY,"13,613.00","15,522.07","16,439.29","19,421.95","22,121.72","26,896.41","31,884.25",NA,NA,14.02,5.91,18.14,13.9,21.58,18.54,NA,NA,WEST BENGAL
11,HOWRAH,"11,614.02","12,913.95","15,046.05","17,037.49","19,186.92","22,347.41","26,505.21",NA,NA,11.19,16.51,13.24,12.62,16.47,18.61,NA,NA,WEST BENGAL
12,JALPAIGURI,"7,948.42","8,582.06","9,903.31","11,257.44","13,206.73","15,009.11","17,688.69",NA,NA,7.97,15.4,13.67,17.32,13.65,17.85,NA,NA,WEST BENGAL
13,KOLKATA,"19,725.04","22,031.95","24,952.55","27,964.21","32,170.51","35,005.15","40,853.80",NA,NA,11.7,13.26,12.07,15.04,8.81,16.71,NA,NA,WEST BENGAL
14,MALDA,"7,162.25","7,623.01","8,593.01","9,744.67","11,239.91","13,150.43","15,640.18",NA,NA,6.43,12.72,13.4,15.34,17,18.93,NA,NA,WEST BENGAL
15,MIDNAPORE EAST,"16,728.73","17,901.12","20,519.15","23,190.65","26,585.61","31,427.38","37,410.58",NA,NA,7.01,14.62,13.02,14.64,18.21,19.04,NA,NA,WEST BENGAL
16,MIDNAPORE WEST,"10,889.90","12,125.49","13,687.97","16,400.36","17,994.30","22,184.55","25,492.44",NA,NA,11.35,12.89,19.82,9.72,23.29,14.91,NA,NA,WEST BENGAL
17,MURSHIDABAD,"12,332.96","13,860.06","15,656.33","17,966.71","20,106.06","23,755.39","28,357.66",NA,NA,12.38,12.96,14.76,11.91,18.15,19.37,NA,NA,WEST BENGAL
18,NADIA,"10,628.30","11,850.26","13,196.07","15,141.44","17,427.54","20,589.69","24,135.91",NA,NA,11.5,11.36,14.74,15.1,18.14,17.22,NA,NA,WEST BENGAL
19,PURULIA,"4,833.75","5,167.92","5,953.55","6,808.38","7,843.43","9,005.43","9,740.77",NA,NA,6.91,15.2,14.36,15.2,14.81,8.17,NA,NA,WEST BENGAL
20,UTTAR DINAJPUR,"3,895.05","4,523.09","4,890.95","5,784.36","6,702.24","7,925.14","9,591.21",NA,NA,16.12,8.13,18.27,15.87,18.25,21.02,NA,NA,WEST BENGAL
