LEVEL,YEAR,NAME,AREA,NO_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
DISTRICT,2011,Kokrajhar,Urban,11722,54941,28459,26482,5527,2839,2688,5823,3005,2818,11948,5791,6157,43415,23562,19853,11526,4897,6629,21148,16594,4554,18225,14979,3246,428,355,73,131,100,31,231,140,91,17435,14384,3051,2923,1615,1308,135,82,53,87,62,25,193,81,112,2508,1390,1118,2658,1434,1224,133,80,53,75,51,24,163,56,107,2287,1247,1040,265,181,84,2,2,0,12,11,1,30,25,5,221,143,78,33793,11865,21928
DISTRICT,2011,Kokrajhar,Rural,169359,832201,424446,407755,131397,67246,64151,23747,12381,11366,266717,133788,132929,445890,251658,194232,386311,172788,213523,319983,219728,100255,234885,183825,51060,127722,103607,24115,29387,20504,8883,7106,3748,3358,70670,55966,14704,85098,35903,49195,28468,11045,17423,26725,10648,16077,4893,1167,3726,25012,13043,11969,73522,30554,42968,24389,9239,15150,23795,9308,14487,4049,899,3150,21289,11108,10181,11576,5349,6227,4079,1806,2273,2930,1340,1590,844,268,576,3723,1935,1788,512218,204718,307500
DISTRICT,2011,Kohima,Urban,26755,121088,62597,58491,15075,7572,7503,0,0,0,91166,44359,46807,95505,50767,44738,25583,11830,13753,43007,28550,14457,39168,26701,12467,1328,476,852,182,118,64,361,200,161,37297,25907,11390,3839,1849,1990,632,200,432,229,79,150,186,76,110,2792,1494,1298,3224,1553,1671,552,175,377,194,65,129,134,56,78,2344,1257,1087,615,296,319,80,25,55,35,14,21,52,20,32,448,237,211,78081,34047,44034
DISTRICT,2011,Kohima,Rural,27636,146900,76369,70531,21211,10707,10504,0,0,0,133572,66258,67314,101984,56271,45713,44916,20098,24818,71818,39590,32228,60240,34138,26102,36689,16049,20640,729,389,340,770,422,348,22052,17278,4774,11578,5452,6126,6035,2572,3463,1058,521,537,755,286,469,3730,2073,1657,7473,3484,3989,3688,1503,2185,690,336,354,499,203,296,2596,1442,1154,4105,1968,2137,2347,1069,1278,368,185,183,256,83,173,1134,631,503,75082,36779,38303
DISTRICT,2011,Kodarma,Urban,24462,141246,73627,67619,22350,11622,10728,15118,7837,7281,751,384,367,94102,54269,39833,47144,19358,27786,39092,34011,5081,30788,28478,2310,928,868,60,1040,973,67,957,816,141,27863,25821,2042,8304,5533,2771,780,192,588,1291,740,551,706,264,442,5527,4337,1190,6352,4627,1725,405,146,259,936,556,380,474,209,265,4537,3716,821,1952,906,1046,375,46,329,355,184,171,232,55,177,990,621,369,102154,39616,62538
DISTRICT,2011,Kodarma,Rural,91693,575013,293595,281418,110025,56294,53731,93885,47509,46376,6152,3210,2942,296147,184511,111636,278866,109084,169782,218326,139982,78344,112536,89403,23133,38079,29303,8776,23157,16404,6753,2955,1784,1171,48345,41912,6433,105790,50579,55211,43339,16639,26700,38787,17567,21220,3316,1493,1823,20348,14880,5468,79001,41031,37970,27536,11072,16464,32004,15711,16293,2464,1198,1266,16997,13050,3947,26789,9548,17241,15803,5567,10236,6783,1856,4927,852,295,557,3351,1830,1521,356687,153613,203074
DISTRICT,2011,Kodagu,Urban,20727,80988,40447,40541,7952,4028,3924,8966,4400,4566,1756,867,889,66816,34382,32434,14172,6065,8107,32894,23884,9010,30339,22197,8142,217,176,41,298,197,101,209,157,52,29615,21667,7948,2555,1687,868,30,21,9,47,28,19,71,31,40,2407,1607,800,2145,1433,712,28,19,9,45,26,19,62,28,34,2010,1360,650,410,254,156,2,2,0,2,2,0,9,3,6,397,247,150,48094,16563,31531
DISTRICT,2011,Kodagu,Rural,121989,473531,234161,239370,46781,23648,23133,64618,31359,33259,56298,27643,28655,346061,180920,165141,127470,53241,74229,246044,148216,97828,228414,140222,88192,19230,12909,6321,12248,6383,5865,1036,677,359,195900,120253,75647,17630,7994,9636,1697,689,1008,2560,1028,1532,233,124,109,13140,6153,6987,14544,6882,7662,1495,601,894,2234,926,1308,197,111,86,10618,5244,5374,3086,1112,1974,202,88,114,326,102,224,36,13,23,2522,909,1613,227487,85945,141542
DISTRICT,2011,Koch Bihar ,Urban,69693,289434,146626,142808,25420,13125,12295,63679,32252,31427,1253,653,600,233281,122341,110940,56153,24285,31868,103260,83007,20253,91903,76724,15179,1694,1548,146,2506,2136,370,3696,2285,1411,84007,70755,13252,11357,6283,5074,462,176,286,1082,690,392,693,216,477,9120,5201,3919,9704,5212,4492,433,165,268,866,531,335,583,176,407,7822,4340,3482,1653,1071,582,29,11,18,216,159,57,110,40,70,1298,861,437,186174,63619,122555
DISTRICT,2011,Koch Bihar ,Rural,596027,2529652,1304916,1224736,319225,163815,155410,1350657,696254,654403,16872,8735,8137,1617223,906392,710831,912429,398524,513905,1024717,762301,262416,794454,673124,121330,310320,282051,28269,269929,210686,59243,22451,13778,8673,191754,166609,25145,230263,89177,141086,52321,18970,33351,118358,43913,74445,13753,2990,10763,45831,23304,22527,193869,75487,118382,42610,15381,27229,100285,37408,62877,11573,2497,9076,39401,20201,19200,36394,13690,22704,9711,3589,6122,18073,6505,11568,2180,493,1687,6430,3103,3327,1504935,542615,962320
