LEVEL,YEAR,NAME,AREA,NO_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
DISTRICT,2011,Rudraprayag,Rural,50882,232360,108740,123620,30995,16240,14755,46279,22823,23456,309,169,140,162944,86853,76091,69416,21887,47529,108539,48799,59740,75165,34567,40598,56646,19984,36662,1409,643,766,1291,853,438,15819,13087,2732,33374,14232,19142,26169,9246,16923,1640,842,798,611,361,250,4954,3783,1171,25989,11045,14944,20257,7077,13180,1345,668,677,480,276,204,3907,3024,883,7385,3187,4198,5912,2169,3743,295,174,121,131,85,46,1047,759,288,123821,59941,63880
DISTRICT,2011,Rohtas,Urban,69951,427765,225270,202495,63013,32927,30086,40441,21190,19251,3215,1667,1548,285785,162824,122961,141980,62446,79534,113860,97864,15996,88573,79179,9394,5555,5249,306,8616,7920,696,6772,5470,1302,67630,60540,7090,25287,18685,6602,1017,791,226,5725,4210,1515,3042,1751,1291,15503,11933,3570,20785,15902,4883,861,690,171,4730,3625,1105,2271,1376,895,12923,10211,2712,4502,2783,1719,156,101,55,995,585,410,771,375,396,2580,1722,858,313905,127406,186499
DISTRICT,2011,Rohtas,Rural,390394,2532153,1318276,1213877,443797,229547,214250,509105,265406,243699,28435,14732,13703,1514047,898959,615088,1018106,419317,598789,811019,610075,200944,453866,386394,67472,163452,148476,14976,163910,137810,26100,18128,11299,6829,108376,88809,19567,357153,223681,133472,48063,30898,17165,227293,143506,83787,20570,8988,11582,61227,40289,20938,273562,182266,91296,36911,25200,11711,174045,118170,55875,14331,6768,7563,48275,32128,16147,83591,41415,42176,11152,5698,5454,53248,25336,27912,6239,2220,4019,12952,8161,4791,1721134,708201,1012933
DISTRICT,2011,Rohtak,Urban,89538,446164,236445,209719,51537,28350,23187,81954,43459,38495,0,0,0,334915,187175,147740,111249,49270,61979,133286,111041,22245,122161,102541,19620,3511,3149,362,3038,2497,541,2798,2298,500,112814,94597,18217,11125,8500,2625,487,276,211,1347,906,441,351,221,130,8940,7097,1843,9241,7063,2178,356,184,172,1119,782,337,253,155,98,7513,5942,1571,1884,1437,447,131,92,39,228,124,104,98,66,32,1427,1155,272,312878,125404,187474
DISTRICT,2011,Rohtak,Rural,117450,615040,332034,283006,77793,42691,35102,134935,72114,62821,0,0,0,412667,248850,163817,202373,83184,119189,212681,161605,51076,166788,136454,30334,76945,64102,12843,17578,13947,3631,3555,2197,1358,68710,56208,12502,45893,25151,20742,14789,5386,9403,14605,9255,5350,1817,832,985,14682,9678,5004,38718,21069,17649,11968,4237,7731,12235,7721,4514,1582,698,884,12933,8413,4520,7175,4082,3093,2821,1149,1672,2370,1534,836,235,134,101,1749,1265,484,402359,170429,231930
DISTRICT,2011,Ribhoi,Urban,4460,25253,13826,11427,4135,2111,2024,86,50,36,17756,8672,9084,18042,10295,7747,7211,3531,3680,10113,7487,2626,9364,7131,2233,1857,1094,763,1126,794,332,28,26,2,6353,5217,1136,749,356,393,100,35,65,466,245,221,6,3,3,177,73,104,561,276,285,63,21,42,360,194,166,3,1,2,135,60,75,188,80,108,37,14,23,106,51,55,3,2,1,42,13,29,15140,6339,8801
DISTRICT,2011,Ribhoi,Rural,42412,233587,118705,114882,48727,24963,23764,504,279,225,212325,107235,105090,137817,70682,67135,95770,48023,47747,96360,56384,39976,81511,49927,31584,49098,28757,20341,13090,8169,4921,1249,497,752,18074,12504,5570,14849,6457,8392,4778,1725,3053,5307,2475,2832,393,128,265,4371,2129,2242,11385,4880,6505,3733,1265,2468,3911,1857,2054,274,99,175,3467,1659,1808,3464,1577,1887,1045,460,585,1396,618,778,119,29,90,904,470,434,137227,62321,74906
DISTRICT,2011,Rewari,Urban,47744,233430,124625,108805,29841,16589,13252,41969,21954,20015,0,0,0,172495,98895,73600,60935,25730,35205,73352,63147,10205,67458,59166,8292,2596,2251,345,1076,911,165,2307,1996,311,61479,54008,7471,5894,3981,1913,271,124,147,520,273,247,365,174,191,4738,3410,1328,4730,3287,1443,205,114,91,333,200,133,307,147,160,3885,2826,1059,1164,694,470,66,10,56,187,73,114,58,27,31,853,584,269,160078,61478,98600
DISTRICT,2011,Rewari,Rural,130299,666902,349710,317192,84052,47154,36898,140637,73617,67020,0,0,0,464452,276558,187894,202450,73152,129298,264375,172179,92196,182761,141404,41357,71398,55917,15481,9376,7103,2273,3942,2380,1562,98045,76004,22041,81614,30775,50839,28433,7914,20519,17243,7309,9934,3168,836,2332,32770,14716,18054,59851,22982,36869,18783,5024,13759,11844,5529,6315,2541,630,1911,26683,11799,14884,21763,7793,13970,9650,2890,6760,5399,1780,3619,627,206,421,6087,2917,3170,402527,177531,224996
DISTRICT,2011,Rewa,Urban,75768,395785,207261,188524,48222,25754,22468,48630,25359,23271,25707,13445,12262,284840,161253,123587,110945,46008,64937,136387,100895,35492,108168,85272,22896,8535,6925,1610,12036,7721,4315,9595,6168,3427,78002,64458,13544,28219,15623,12596,2504,1039,1465,6220,2678,3542,3002,1351,1651,16493,10555,5938,22565,12746,9819,2020,887,1133,5052,2253,2799,2373,1084,1289,13120,8522,4598,5654,2877,2777,484,152,332,1168,425,743,629,267,362,3373,2033,1340,259398,106366,153032
DISTRICT,2011,Rewa,Rural,450297,1969321,1017839,951482,303761,160943,142818,334878,172785,162093,286278,148251,138027,1156917,684319,472598,812404,333520,478884,855559,516289,339270,522083,363396,158687,181135,135228,45907,229593,142773,86820,21059,13591,7468,90296,71804,18492,333476,152893,180583,66147,26621,39526,215657,98855,116802,17222,7276,9946,34450,20141,14309,271393,126958,144435,52023,21302,30721,180071,84070,96001,12678,5559,7119,26621,16027,10594,62083,25935,36148,14124,5319,8805,35586,14785,20801,4544,1717,2827,7829,4114,3715,1113762,501550,612212
DISTRICT,2011,Reasi,Urban,5030,26996,14980,12016,3292,1738,1554,4525,2365,2160,1757,889,868,19214,11435,7779,7782,3545,4237,10898,8571,2327,9072,7787,1285,828,471,357,115,52,63,18,14,4,8111,7250,861,1826,784,1042,710,158,552,414,75,339,13,4,9,689,547,142,1226,625,601,474,114,360,176,50,126,11,3,8,565,458,107,600,159,441,236,44,192,238,25,213,2,1,1,124,89,35,16098,6409,9689
DISTRICT,2011,Reasi,Rural,51659,287671,151481,136190,52507,27341,25166,33232,17292,15940,86608,45441,41167,131328,82502,48826,156343,68979,87364,133869,80184,53685,79390,67032,12358,47926,42222,5704,1178,929,249,264,191,73,30022,23690,6332,54479,13152,41327,46683,10549,36134,2302,726,1576,239,34,205,5255,1843,3412,43730,9519,34211,37102,7343,29759,1911,626,1285,194,30,164,4523,1520,3003,10749,3633,7116,9581,3206,6375,391,100,291,45,4,41,732,323,409,153802,71297,82505
DISTRICT,2011,Rayagada  ,Urban,34576,146966,74186,72780,16292,8353,7939,22857,11180,11677,19697,9581,10116,101977,56329,45648,44989,17857,27132,53423,40236,13187,43948,35367,8581,977,846,131,1572,945,627,1732,1379,353,39667,32197,7470,9475,4869,4606,208,118,90,2181,766,1415,910,434,476,6176,3551,2625,7691,4121,3570,201,115,86,1625,641,984,605,311,294,5260,3054,2206,1784,748,1036,7,3,4,556,125,431,305,123,182,916,497,419,93543,33950,59593
DISTRICT,2011,Rayagada  ,Rural,191568,820945,397774,423171,132230,67245,64985,116657,56888,59769,522208,249459,272749,305758,185630,120128,515187,212144,303043,413699,217796,195903,183867,129598,54269,74692,59324,15368,65487,37093,28394,3055,2325,730,40633,30856,9777,229832,88198,141634,23388,12308,11080,178935,62417,116518,4262,1355,2907,23247,12118,11129,198975,78026,120949,20303,10921,9382,156777,55784,100993,3058,1058,2000,18837,10263,8574,30857,10172,20685,3085,1387,1698,22158,6633,15525,1204,297,907,4410,1855,2555,407246,179978,227268
DISTRICT,2011,Ratnagiri,Urban,61797,263723,130908,132815,26487,13710,12777,9424,4750,4674,1586,825,761,220035,111813,108222,43688,19095,24593,85850,66575,19275,77689,61643,16046,1727,1285,442,1898,1238,660,2074,1461,613,71990,57659,14331,8161,4932,3229,286,139,147,863,494,369,475,203,272,6537,4096,2441,6685,4125,2560,248,126,122,801,468,333,383,177,206,5253,3354,1899,1476,807,669,38,13,25,62,26,36,92,26,66,1284,742,542,177873,64333,113540
DISTRICT,2011,Ratnagiri,Rural,335318,1351346,630213,721133,129073,66623,62450,57524,27217,30307,18788,9577,9211,979357,507199,472158,371989,123014,248975,628226,340433,287793,477284,282446,194838,230686,115268,115418,95248,47127,48121,9705,5914,3791,141645,114137,27508,150942,57987,92955,64214,21131,43083,55108,19226,35882,4976,1993,2983,26644,15637,11007,113088,44098,68990,47360,15047,32313,43148,15561,27587,2913,1298,1615,19667,12192,7475,37854,13889,23965,16854,6084,10770,11960,3665,8295,2063,695,1368,6977,3445,3532,723120,289780,433340
DISTRICT,2011,Ratlam,Urban,84829,435031,221773,213258,52003,26848,25155,46784,23703,23081,22122,11421,10701,318776,174036,144740,116255,47737,68518,150452,117991,32461,132072,107116,24956,8828,6164,2664,8733,4956,3777,5937,4670,1267,108574,91326,17248,18380,10875,7505,769,240,529,4418,1843,2575,986,516,470,12207,8276,3931,15510,9428,6082,549,186,363,3615,1590,2025,837,434,403,10509,7218,3291,2870,1447,1423,220,54,166,803,253,550,149,82,67,1698,1058,640,284579,103782,180797
DISTRICT,2011,Ratlam,Rural,211854,1020038,516468,503570,166351,85789,80562,151828,76926,74902,387743,194869,192874,507104,311054,196050,512934,205414,307520,540528,293455,247073,339067,213447,125620,170439,114755,55684,139501,75894,63607,2976,2186,790,26151,20612,5539,201461,80008,121453,38656,13617,25039,153294,61072,92222,2029,895,1134,7482,4424,3058,174542,69492,105050,31260,10714,20546,136001,54587,81414,1341,575,766,5940,3616,2324,26919,10516,16403,7396,2903,4493,17293,6485,10808,688,320,368,1542,808,734,479510,223013,256497
DISTRICT,2011,Rangareddy,Urban,886201,3719172,1899995,1819177,440324,228068,212256,326525,164435,162090,84867,44020,40847,2698841,1455291,1243550,1020331,444704,575627,1416739,1045928,370811,1185460,919106,266354,18034,12195,5839,32670,20234,12436,41663,28425,13238,1093093,858252,234841,231279,126822,104457,6833,3408,3425,12625,6582,6043,14904,6129,8775,196917,110703,86214,209290,113517,95773,6691,3322,3369,10935,5617,5318,11729,4380,7349,179935,100198,79737,21989,13305,8684,142,86,56,1690,965,725,3175,1749,1426,16982,10505,6477,2302433,854067,1448366
DISTRICT,2011,Rangareddy,Rural,349140,1577569,801013,776556,192848,99495,93353,325517,163576,161941,133890,68748,65142,839187,493493,345694,738382,307520,430862,779339,442988,336351,649317,389868,259449,232121,147365,84756,226208,96153,130055,12558,8110,4448,178430,138240,40190,130022,53120,76902,13937,6744,7193,77529,25344,52185,4262,1699,2563,34294,19333,14961,114097,46765,67332,12351,5949,6402,68375,22312,46063,3243,1358,1885,30128,17146,12982,15925,6355,9570,1586,795,791,9154,3032,6122,1019,341,678,4166,2187,1979,798230,358025,440205
DISTRICT,2011,Ranchi,Urban,243209,1257335,654409,602926,150461,79121,71340,68673,35525,33148,252178,124864,127314,957961,524892,433069,299374,129517,169857,391661,308555,83106,328951,269120,59831,5638,4245,1393,7894,5768,2126,10825,8432,2393,304594,250675,53919,62710,39435,23275,3337,1846,1491,7584,4421,3163,3472,1812,1660,48317,31356,16961,54126,34041,20085,3023,1673,1350,6259,3705,2554,2897,1525,1372,41947,27138,14809,8584,5394,3190,314,173,141,1325,716,609,575,287,288,6370,4218,2152,865674,345854,519820
DISTRICT,2011,Ranchi,Rural,326235,1656918,840528,816390,250753,127908,122845,84270,43088,41182,789838,395718,394120,953472,560352,393120,703446,280176,423270,751206,435412,315794,427225,284829,142396,202373,131377,70996,95876,55054,40822,12784,7664,5120,116192,90734,25458,323981,150583,173398,106139,47594,58545,156006,67810,88196,11371,4258,7113,50465,30921,19544,263900,125064,138836,85974,38810,47164,127960,56768,71192,8140,3148,4992,41826,26338,15488,60081,25519,34562,20165,8784,11381,28046,11042,17004,3231,1110,2121,8639,4583,4056,905712,405116,500596
DISTRICT,2011,Rampur,Urban,103221,588647,307011,281636,80313,41463,38850,30098,15956,14142,236,141,95,284687,159802,124885,303960,147209,156751,182303,158887,23416,158043,141171,16872,8946,8572,374,17419,16096,1323,16703,12599,4104,114975,103904,11071,24260,17716,6544,648,479,169,4435,3734,701,4094,1974,2120,15083,11529,3554,20289,15096,5193,586,436,150,3488,3028,460,3280,1705,1575,12935,9927,3008,3971,2620,1351,62,43,19,947,706,241,814,269,545,2148,1602,546,406344,148124,258220
DISTRICT,2011,Rampur,Rural,290515,1747172,916878,830294,298914,155688,143226,277838,146888,130950,122,66,56,758979,470606,288373,988193,446272,541921,554958,450806,104152,406223,360953,45270,178738,168008,10730,133391,121744,11647,17150,9609,7541,76944,61592,15352,148735,89853,58882,25855,13253,12602,74993,53998,20995,16291,4939,11352,31596,17663,13933,115552,73548,42004,17533,9823,7710,59646,44723,14923,12505,4001,8504,25868,15001,10867,33183,16305,16878,8322,3430,4892,15347,9275,6072,3786,938,2848,5728,2662,3066,1192214,466072,726142
DISTRICT,2011,Ramgarh,Urban,80546,418955,222063,196892,54470,28617,25853,56129,29133,26996,56682,28819,27863,295291,170119,125172,123664,51944,71720,115908,100752,15156,97671,87111,10560,4020,3350,670,2075,1776,299,2224,1954,270,89352,80031,9321,18237,13641,4596,1614,867,747,2296,1510,786,557,370,187,13770,10894,2876,14389,10950,3439,1143,641,502,1654,1147,507,444,315,129,11148,8847,2301,3848,2691,1157,471,226,245,642,363,279,113,55,58,2622,2047,575,303047,121311,181736
DISTRICT,2011,Ramgarh,Rural,98829,530488,272167,258321,79756,41044,38712,50227,25853,24374,144484,73082,71402,301206,179912,121294,229282,92255,137027,196217,133450,62767,123441,96026,27415,55340,40757,14583,19267,13448,5819,3023,2167,856,45811,39654,6157,72776,37424,35352,29796,11829,17967,23177,11411,11766,2532,1124,1408,17271,13060,4211,56730,30777,25953,22584,9378,13206,17983,9348,8635,2023,940,1083,14140,11111,3029,16046,6647,9399,7212,2451,4761,5194,2063,3131,509,184,325,3131,1949,1182,334271,138717,195554
DISTRICT,2011,Ramban,Urban,2162,11811,6815,4996,1277,699,578,518,276,242,189,101,88,8871,5586,3285,2940,1229,1711,4355,3971,384,4066,3731,335,43,40,3,47,46,1,7,6,1,3969,3639,330,289,240,49,28,18,10,79,75,4,5,2,3,177,145,32,268,225,43,27,17,10,75,72,3,3,1,2,163,135,28,21,15,6,1,1,0,4,3,1,2,1,1,14,10,4,7456,2844,4612
DISTRICT,2011,Ramban,Rural,53328,271902,142317,129585,53815,27926,25889,13402,6892,6510,39583,20839,18744,115194,77352,37842,156708,64965,91743,82857,64505,18352,47985,42776,5209,21700,19673,2027,3363,3192,171,978,395,583,21944,19516,2428,34872,21729,13143,19623,12453,7170,5321,3755,1566,1548,293,1255,8380,5228,3152,26606,17397,9209,14295,9719,4576,3941,2953,988,1355,255,1100,7015,4470,2545,8266,4332,3934,5328,2734,2594,1380,802,578,193,38,155,1365,758,607,189045,77812,111233
DISTRICT,2011,Ramanathapuram,Urban,95141,410699,208150,202549,44224,22529,21695,43680,22061,21619,604,315,289,327027,173709,153318,83672,34441,49231,143197,114441,28756,124257,102225,22032,4204,3324,880,5253,3770,1483,8503,4861,3642,106297,90270,16027,18940,12216,6724,1108,684,424,2027,1239,788,1676,711,965,14129,9582,4547,16258,10533,5725,965,592,373,1623,1025,598,1384,616,768,12286,8300,3986,2682,1683,999,143,92,51,404,214,190,292,95,197,1843,1282,561,267502,93709,173793
DISTRICT,2011,Ramanathapuram,Rural,228764,942746,474508,468238,96420,49176,47244,205328,102954,102374,501,244,257,651919,362778,289141,290827,111730,179097,459780,278310,181470,361893,231117,130776,145755,86714,59041,98339,52769,45570,10043,4667,5376,107756,86967,20789,97887,47193,50694,22700,11913,10787,48255,20403,27852,5006,1175,3831,21926,13702,8224,86899,41960,44939,20823,10947,9876,42972,18222,24750,4152,898,3254,18952,11893,7059,10988,5233,5755,1877,966,911,5283,2181,3102,854,277,577,2974,1809,1165,482966,196198,286768
DISTRICT,2011,Ramanagara,Urban,60860,267759,135570,132189,30512,15538,14974,39031,19472,19559,3783,1926,1857,193447,102591,90856,74312,32979,41333,106385,78259,28126,94612,70913,23699,3358,2731,627,2150,1367,783,7378,4256,3122,81726,62559,19167,11773,7346,4427,193,128,65,671,411,260,1511,764,747,9398,6043,3355,9921,6241,3680,177,116,61,580,366,214,1280,656,624,7884,5103,2781,1852,1105,747,16,12,4,91,45,46,231,108,123,1514,940,574,161374,57311,104063
DISTRICT,2011,Ramanagara,Rural,199673,814877,412438,402439,77329,39425,37904,164788,83140,81648,19163,9693,9470,481311,275870,205441,333566,136568,196998,425074,266090,158984,364229,241705,122524,190598,132539,58059,74258,37011,37247,5883,3227,2656,93490,68928,24562,60845,24385,36460,13981,4394,9587,25381,8598,16783,2951,1216,1735,18532,10177,8355,52530,20726,31804,12508,3944,8564,23041,7839,15202,2334,952,1382,14647,7991,6656,8315,3659,4656,1473,450,1023,2340,759,1581,617,264,353,3885,2186,1699,389803,146348,243455
DISTRICT,2011,Rajsamand,Urban,37200,183820,94379,89441,22933,12135,10798,26384,13350,13034,10818,5545,5273,131734,74896,56838,52086,19483,32603,64884,50078,14806,55326,46319,9007,3461,2105,1356,1659,976,683,2238,1751,487,47968,41487,6481,9558,3759,5799,1397,328,1069,2209,511,1698,466,164,302,5486,2756,2730,8208,3237,4971,1226,287,939,1993,459,1534,359,127,232,4630,2364,2266,1350,522,828,171,41,130,216,52,164,107,37,70,856,392,464,118936,44301,74635
DISTRICT,2011,Rajsamand,Rural,205878,972777,486960,485817,153108,80392,72716,121784,61388,60396,149991,75628,74363,487405,308438,178967,485372,178522,306850,485947,269456,216491,307258,211611,95647,139158,84306,54852,40920,20988,19932,6440,4335,2105,120740,101982,18758,178689,57845,120844,63566,18014,45552,61799,17459,44340,4361,1503,2858,48963,20869,28094,144081,47577,96504,49179,13538,35641,52484,15064,37420,3183,1185,1998,39235,17790,21445,34608,10268,24340,14387,4476,9911,9315,2395,6920,1178,318,860,9728,3079,6649,486830,217504,269326
DISTRICT,2011,Rajouri,Urban,7756,52314,34603,17711,4847,2647,2200,2016,1263,753,3123,1716,1407,42899,30356,12543,9415,4247,5168,27525,24218,3307,24858,22738,2120,442,401,41,207,179,28,144,117,27,24065,22041,2024,2667,1480,1187,142,83,59,167,131,36,150,33,117,2208,1233,975,2246,1228,1018,127,72,55,119,93,26,95,27,68,1905,1036,869,421,252,169,15,11,4,48,38,10,55,6,49,303,197,106,24789,10385,14404
DISTRICT,2011,Rajouri,Rural,122645,590101,310748,279353,103424,55404,48020,46141,23907,22234,229692,119658,110034,321210,194113,127097,268891,116635,152256,263387,160534,102853,105519,87376,18143,42658,34351,8307,5941,5026,915,1511,991,520,55409,47008,8401,157868,73158,84710,93285,46919,46366,17701,11022,6679,2851,763,2088,44031,14454,29577,100777,49451,51326,57104,30724,26380,12372,8107,4265,2045,552,1493,29256,10068,19188,57091,23707,33384,36181,16195,19986,5329,2915,2414,806,211,595,14775,4386,10389,326714,150214,176500
DISTRICT,2011,Rajnandgaon,Urban,59800,272512,136643,135869,32011,16405,15606,38544,18867,19677,19409,9432,9977,205453,110131,95322,67059,26512,40547,104094,73925,30169,93978,69189,24789,4647,2934,1713,7537,3678,3859,4790,2698,2092,77004,59879,17125,10116,4736,5380,944,376,568,3940,1335,2605,565,225,340,4667,2800,1867,8554,4020,4534,858,350,508,3515,1248,2267,422,158,264,3759,2264,1495,1562,716,846,86,26,60,425,87,338,143,67,76,908,536,372,168418,62718,105700
DISTRICT,2011,Rajnandgaon,Rural,258688,1264621,626212,638409,177564,89103,88461,118079,58112,59967,385785,188600,197185,802926,451224,351702,461695,174988,286707,695998,362686,333312,501981,289757,212224,272160,154090,118070,158411,78499,79912,4076,2804,1272,67334,54364,12970,194017,72929,121088,64365,25339,39026,120220,41717,78503,1416,676,740,8016,5197,2819,157197,59009,98188,49836,19386,30450,99922,34924,64998,1153,547,606,6286,4152,2134,36820,13920,22900,14529,5953,8576,20298,6793,13505,263,129,134,1730,1045,685,568623,263526,305097
DISTRICT,2011,Rajkot,Urban,471625,2214050,1158181,1055869,246495,133333,113162,142190,73541,68649,15610,8115,7495,1681121,921320,759801,532929,236861,296068,770518,670168,100350,719530,640957,78573,17769,15704,2065,18441,14130,4311,13026,9043,3983,670294,602080,68214,50988,29211,21777,1148,505,643,3334,1353,1981,3615,911,2704,42891,26442,16449,45209,26248,18961,1059,483,576,2858,1220,1638,2972,720,2252,38320,23825,14495,5779,2963,2816,89,22,67,476,133,343,643,191,452,4571,2617,1954,1443532,488013,955519
DISTRICT,2011,Rajkot,Rural,314961,1590508,816264,774244,192085,102201,89884,147979,76241,71738,8407,4389,4018,1043935,592755,451180,546573,223509,323064,708532,489312,219220,605253,465411,139842,287013,221338,65675,152794,101138,51656,5766,4462,1304,159680,138473,21207,103279,23901,79378,43427,6224,37203,39716,7854,31862,1373,488,885,18763,9335,9428,90122,20505,69617,36288,4721,31567,35952,6936,29016,1133,391,742,16749,8457,8292,13157,3396,9761,7139,1503,5636,3764,918,2846,240,97,143,2014,878,1136,881976,326952,555024
DISTRICT,2011,Rajgarh,Urban,53279,276457,141805,134652,38794,20353,18441,46389,23539,22850,5083,2650,2433,183932,104203,79729,92525,37602,54923,93399,71259,22140,76705,62947,13758,6657,5298,1359,7667,4927,2740,3331,2640,691,59050,50082,8968,16694,8312,8382,1511,404,1107,5850,1918,3932,1085,455,630,8248,5535,2713,13679,7047,6632,1228,296,932,4679,1555,3124,808,383,425,6964,4813,2151,3015,1265,1750,283,108,175,1171,363,808,277,72,205,1284,722,562,183058,70546,112512
DISTRICT,2011,Rajgarh,Rural,292018,1269357,648407,620950,193193,100462,92731,249329,127721,121608,48668,24827,23841,620313,384594,235719,649044,263813,385231,652204,358509,293695,395068,268586,126482,223125,159736,63389,131879,76734,55145,3615,2686,929,36449,29430,7019,257136,89923,167213,53802,14535,39267,185424,66039,119385,4092,1545,2547,13818,7804,6014,217784,75986,141798,45160,11390,33770,159039,57178,101861,2981,1112,1869,10604,6306,4298,39352,13937,25415,8642,3145,5497,26385,8861,17524,1111,433,678,3214,1498,1716,617153,289898,327255
DISTRICT,2011,Raisen,Urban,62916,303425,160398,143027,43149,22482,20667,42276,22367,19909,14924,7832,7092,212271,120261,92010,91154,40137,51017,99040,81530,17510,85493,72907,12586,6923,6502,421,5327,4235,1092,4163,2442,1721,69080,59728,9352,13547,8623,4924,388,214,174,3367,1747,1620,1181,354,827,8611,6308,2303,11043,7144,3899,344,185,159,2575,1411,1164,1038,313,725,7086,5235,1851,2504,1479,1025,44,29,15,792,336,456,143,41,102,1525,1073,452,204385,78868,125517
DISTRICT,2011,Raisen,Rural,215979,1028172,539960,488212,164550,85017,79533,183615,96859,86756,190082,97795,92287,607949,358832,249117,420223,181128,239095,418798,288836,129962,284748,228101,56647,113315,100926,12389,120540,88766,31774,7108,3402,3706,43785,35007,8778,134050,60735,73315,18099,7019,11080,98917,44590,54327,4864,1524,3340,12170,7602,4568,106770,51183,55587,12329,5228,7101,81418,38672,42746,3528,1078,2450,9495,6205,3290,27280,9552,17728,5770,1791,3979,17499,5918,11581,1336,446,890,2675,1397,1278,609374,251124,358250
DISTRICT,2011,Raipur,Urban,315647,1483289,759619,723670,196377,101025,95352,199404,99917,99487,68534,34674,33860,1084035,594860,489175,399254,164759,234495,541971,413083,128888,487038,382894,104144,12108,8833,3275,23527,14422,9105,16604,12247,4357,434799,347392,87407,54933,30189,24744,2672,1352,1320,14304,6345,7959,2289,1076,1213,35668,21416,14252,45917,25266,20651,2340,1221,1119,11872,5408,6464,1859,895,964,29846,17742,12104,9016,4923,4093,332,131,201,2432,937,1495,430,181,249,5822,3674,2148,941318,346536,594782
DISTRICT,2011,Raipur,Rural,555578,2580583,1288567,1292016,387005,195416,191589,524846,262367,262479,407912,200597,207315,1545714,898298,647416,1034869,390269,644600,1215693,686881,528812,772100,497062,275038,291411,194277,97134,330902,181198,149704,11033,7338,3695,138754,114249,24505,443593,189819,253774,77088,37540,39548,340260,136589,203671,4152,1970,2182,22093,13720,8373,375317,164215,211102,66374,33293,33081,287762,117860,169902,3283,1611,1672,17898,11451,6447,68276,25604,42672,10714,4247,6467,52498,18729,33769,869,359,510,4195,2269,1926,1364890,601686,763204
DISTRICT,2011,Raigarh,Urban,55162,246302,126461,119841,30986,16233,14753,36883,18469,18414,30015,15008,15007,183488,101425,82063,62814,25036,37778,85225,68345,16880,76281,63310,12971,3044,2484,560,4660,3304,1356,1714,1271,443,66863,56251,10612,8944,5035,3909,472,181,291,2995,1213,1782,241,120,121,5236,3521,1715,7515,4315,3200,418,165,253,2730,1131,1599,185,89,96,4182,2930,1252,1429,720,709,54,16,38,265,82,183,56,31,25,1054,591,463,161077,58116,102961
DISTRICT,2011,Raigarh,Rural,381204,1664005,836996,827009,188804,96875,91929,64338,31985,32353,270768,135959,134809,1162891,639701,523190,501114,197295,303819,714556,470497,244059,539278,381638,157640,162160,101720,60440,110644,61562,49082,15636,10262,5374,250838,208094,42744,175278,88859,86419,39638,19007,20631,73865,32144,41721,6705,2779,3926,55070,34929,20141,144346,74241,70105,33194,16164,17030,61305,27035,34270,4649,2087,2562,45198,28955,16243,30932,14618,16314,6444,2843,3601,12560,5109,7451,2056,692,1364,9872,5974,3898,949449,366499,582950
DISTRICT,2011,Raichur,Urban,96268,490348,246539,243809,63929,32797,31132,87352,43530,43822,33048,16508,16540,320329,177626,142703,170019,68913,101106,176420,129325,47095,150592,114709,35883,7376,6262,1114,13555,6911,6644,3686,2503,1183,125975,99033,26942,25828,14616,11212,557,333,224,4037,1648,2389,1341,724,617,19893,11911,7982,22406,12590,9816,509,292,217,3782,1532,2250,1017,558,459,17098,10208,6890,3422,2026,1396,48,41,7,255,116,139,324,166,158,2795,1703,1092,313928,117214,196714
