LEVEL,YEAR,NAME,AREA,NO_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,UNNAMED: 64
DISTRICT,2001,Saharanpur,Rural,337295,2149291,1153352,995939,419529,223988,195541,562085,302652,259433,459,244,215,1016883,650665,366218,1132408,502687,629721,619582,548171,71411,511264,477345,33919,206196,197757,8439,139374,130458,8916,18020,14604,3416,147674,134526,13148,108318,70826,37492,13165,5628,7537,56887,39491,17396,6021,2393,3628,32245,23314,8931,1529709,605181,924528,
DISTRICT,2001,Sagar,Urban,100969,590907,311962,278945,90470,46906,43564,120249,63819,56430,10208,5386,4822,412689,239460,173229,178218,72502,105716,202550,148356,54194,179688,139184,40504,8823,7925,898,3394,2696,698,51506,24336,27170,115965,104227,11738,22862,9172,13690,586,241,345,1211,565,646,12334,2021,10313,8731,6345,2386,388357,163606,224751,
DISTRICT,2001,Sagar,Rural,275410,1431080,761243,669837,279334,144571,134763,295125,158549,136576,186264,95776,90488,706304,460763,245541,724776,300480,424296,637213,403017,234196,458169,347757,110412,185154,158302,26852,129780,96235,33545,83327,41917,41410,59908,51303,8605,179044,55260,123784,28639,7957,20682,82363,32577,49786,57267,9242,48025,10775,5484,5291,793867,358226,435641,
DISTRICT,2001,Sabar Kantha,Urban,44264,225129,117267,107862,29152,15926,13226,16319,8425,7894,9631,5193,4438,158745,90274,68471,66384,26993,39391,70749,58141,12608,63579,54855,8724,1506,1389,117,2018,1465,553,1266,1007,259,58789,50994,7795,7170,3286,3884,38,18,20,1176,571,605,558,83,475,5398,2614,2784,154380,59126,95254,
DISTRICT,2001,Sabar Kantha,Rural,355583,1857402,952287,905115,295564,156860,138704,157006,80687,76319,410611,205667,204944,1012810,630929,381881,844592,321358,523234,869688,501063,368625,598670,441357,157313,287194,252816,34378,105004,69460,35544,8827,6676,2151,197645,112405,85240,271018,59706,211312,49403,10495,38908,144200,36657,107543,4019,873,3146,73396,11681,61715,987714,451224,536490,
DISTRICT,2001,Rupnagar,Urban,75963,362407,193435,168972,42351,23545,18806,62078,32855,29223,0,0,0,275827,153136,122691,86580,40299,46281,116585,96189,20396,112340,93532,18808,1426,1283,143,1154,1080,74,2258,1616,642,107502,89553,17949,4245,2657,1588,140,62,78,510,445,65,217,99,118,3378,2051,1327,245822,97246,148576,
DISTRICT,2001,Rupnagar,Rural,129991,753701,403147,350554,100272,55933,44339,204594,108895,95699,0,0,0,484240,281077,203163,269461,122070,147391,320758,217529,103229,284779,202174,82605,85230,68867,16363,26199,22734,3465,5017,3376,1641,168333,107197,61136,35979,15355,20624,7361,2262,5099,6986,4623,2363,1198,396,802,20434,8074,12360,432943,185618,247325,
DISTRICT,2001,Rudraprayag,Urban,688,2732,1892,840,291,156,135,296,189,107,29,19,10,2011,1440,571,721,452,269,1413,1346,67,1329,1265,64,1,1,0,0,0,0,12,12,0,1316,1252,64,84,81,3,1,1,0,0,0,0,1,0,1,82,80,2,1319,546,773,
DISTRICT,2001,Rudraprayag,Rural,46851,224707,105643,119064,35585,18212,17373,40015,19778,20237,157,87,70,139067,78640,60427,85640,27003,58637,100620,44158,56462,74739,34789,39950,55452,17425,38027,219,117,102,829,639,190,18239,16608,1631,25881,9369,16512,21957,6307,15650,416,207,209,257,175,82,3251,2680,571,124087,61485,62602,
DISTRICT,2001,Rohtas,Urban,46839,326806,173402,153404,55105,28415,26690,28862,15334,13528,2209,1161,1048,201443,120486,80957,125363,52916,72447,76824,69532,7292,66300,61711,4589,4275,4078,197,4377,3860,517,3620,3048,572,54028,50725,3303,10524,7821,2703,568,285,283,2335,1265,1070,1050,529,521,6571,5742,829,249982,103870,146112,
DISTRICT,2001,Rohtas,Rural,299204,2123942,1110083,1013859,429254,219850,209404,415471,218178,197293,23454,12318,11136,1003844,659127,344717,1120098,450956,669142,667359,516780,150579,478431,422251,56180,218262,201108,17154,158228,130014,28214,15599,12220,3379,86342,78909,7433,188928,94529,94399,33273,14825,18448,124293,61449,62844,8616,3142,5474,22746,15113,7633,1456583,593303,863280,
DISTRICT,2001,Rohtak,Urban,60961,329604,176994,152610,42658,23954,18704,55589,29757,25832,0,0,0,233171,133433,99738,96433,43561,52872,98579,82343,16236,88356,75552,12804,1849,1476,373,1311,1077,234,2843,2197,646,82353,70802,11551,10223,6791,3432,380,81,299,935,313,622,683,243,440,8225,6154,2071,231025,94651,136374,
DISTRICT,2001,Rohtak,Rural,106632,610524,332044,278480,93766,51889,41877,123961,66994,56967,0,0,0,359314,227133,132181,251210,104911,146299,272494,168753,103741,199869,141446,58423,109323,71285,38038,20083,13705,6378,3913,2824,1089,66550,53632,12918,72625,27307,45318,31762,8961,22801,23133,9255,13878,2294,814,1480,15436,8277,7159,338030,163291,174739,
DISTRICT,2001,Ri Bhoi,Urban,2370,13180,6756,6424,2748,1428,1320,12,7,5,11042,5550,5492,7759,4093,3666,5421,2663,2758,4772,3015,1757,3881,2605,1276,991,598,393,854,556,298,48,40,8,1988,1411,577,891,410,481,285,113,172,352,163,189,16,12,4,238,122,116,8408,3741,4667,
DISTRICT,2001,Ri Bhoi,Rural,32474,179610,92563,87047,39798,20148,19650,288,170,118,156737,79224,77513,90995,49401,41594,88615,43162,45453,84635,48424,36211,67356,42438,24918,41203,23927,17276,9702,6081,3621,922,597,325,15529,11833,3696,17279,5986,11293,8174,2789,5385,5550,1915,3635,644,185,459,2911,1097,1814,94975,44139,50836,
